shot_id,action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_made_flag,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,opponent,time_remaining,true_distance,3pt_goal,game_year,game_month,game_day,game_dayofweek,game_at_home
1,Jump Shot,Jump Shot,167,72,1,0,2000,,Right Side(R),Mid-Range,16-24 ft.,2000-10-31,POR,627,18.1859836138,0,2000,10,31,1,0
2,Jump Shot,Jump Shot,-157,0,1,0,2000,0.0,Left Side(L),Mid-Range,8-16 ft.,2000-10-31,POR,622,15.7,0,2000,10,31,1,0
3,Jump Shot,Jump Shot,-101,135,1,0,2000,1.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-10-31,POR,465,16.8600118624,0,2000,10,31,1,0
4,Jump Shot,Jump Shot,138,175,1,0,2000,0.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-10-31,POR,412,22.2865430249,0,2000,10,31,1,0
5,Driving Dunk Shot,Dunk,0,0,2,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-10-31,POR,379,0.0,0,2000,10,31,1,0
6,Jump Shot,Jump Shot,-145,-11,3,0,2000,0.0,Left Side(L),Mid-Range,8-16 ft.,2000-10-31,POR,572,14.5416642789,0,2000,10,31,1,0
7,Layup Shot,Layup,0,0,3,0,2000,1.0,Center(C),Restricted Area,Less Than 8 ft.,2000-10-31,POR,532,0.0,0,2000,10,31,1,0
8,Jump Shot,Jump Shot,1,28,3,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-10-31,POR,485,2.80178514522,0,2000,10,31,1,0
9,Jump Shot,Jump Shot,-65,108,3,0,2000,1.0,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-10-31,POR,372,12.6051576745,0,2000,10,31,1,0
10,Running Jump Shot,Jump Shot,-33,125,3,0,2000,0.0,Center(C),In The Paint (Non-RA),8-16 ft.,2000-10-31,POR,216,12.9282636112,0,2000,10,31,1,0
11,Jump Shot,Jump Shot,-94,238,3,0,2000,0.0,Left Side Center(LC),Above the Break 3,24+ ft.,2000-10-31,POR,116,25.5890601625,1,2000,10,31,1,0
12,Jump Shot,Jump Shot,121,127,1,0,2000,1.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-01,UTA,660,17.5413796493,0,2000,11,1,2,1
13,Running Jump Shot,Jump Shot,-67,110,1,0,2000,1.0,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-11-01,UTA,429,12.8798291914,0,2000,11,1,2,1
14,Jump Shot,Jump Shot,-94,4,1,0,2000,0.0,Left Side(L),Mid-Range,8-16 ft.,2000-11-01,UTA,164,9.40850678907,0,2000,11,1,2,1
15,Jump Shot,Jump Shot,-23,47,1,0,2000,0.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-01,UTA,76,5.23259018078,0,2000,11,1,2,1
16,Jump Shot,Jump Shot,62,192,1,0,2000,0.0,Center(C),Mid-Range,16-24 ft.,2000-11-01,UTA,48,20.1762236308,0,2000,11,1,2,1
17,Driving Layup Shot,Layup,0,0,1,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-01,UTA,1,0.0,0,2000,11,1,2,1
18,Jump Shot,Jump Shot,-117,226,2,0,2000,1.0,Left Side Center(LC),Above the Break 3,24+ ft.,2000-11-01,UTA,530,25.4489685449,1,2000,11,1,2,1
19,Jump Shot,Jump Shot,-132,97,3,0,2000,0.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-01,UTA,689,16.3807814221,0,2000,11,1,2,1
20,Driving Layup Shot,Layup,0,0,3,0,2000,,Center(C),Restricted Area,Less Than 8 ft.,2000-11-01,UTA,646,0.0,0,2000,11,1,2,1
21,Jump Shot,Jump Shot,3,144,3,0,2000,0.0,Center(C),Mid-Range,8-16 ft.,2000-11-01,UTA,608,14.403124661,0,2000,11,1,2,1
22,Jump Shot,Jump Shot,134,127,3,0,2000,0.0,Right Side Center(RC),Mid-Range,16-24 ft.,2000-11-01,UTA,544,18.4621233882,0,2000,11,1,2,1
23,Running Jump Shot,Jump Shot,-16,110,3,0,2000,1.0,Center(C),In The Paint (Non-RA),8-16 ft.,2000-11-01,UTA,477,11.1157545853,0,2000,11,1,2,1
24,Running Jump Shot,Jump Shot,-109,150,3,0,2000,1.0,Left Side Center(LC),Mid-Range,16-24 ft.,2000-11-01,UTA,347,18.5421142268,0,2000,11,1,2,1
25,Running Jump Shot,Jump Shot,-46,63,3,0,2000,1.0,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-11-01,UTA,311,7.8006409993,0,2000,11,1,2,1
26,Layup Shot,Layup,0,0,3,0,2000,0.0,Center(C),Restricted Area,Less Than 8 ft.,2000-11-01,UTA,156,0.0,0,2000,11,1,2,1
27,Jump Shot,Jump Shot,-58,196,3,0,2000,0.0,Center(C),Mid-Range,16-24 ft.,2000-11-01,UTA,124,20.4401565552,0,2000,11,1,2,1
